State / Union Territory,Year,Region,SO2 (Annual Average),NO2 (Annual Average),PM10 (Annual Average),PM2.5 (Annual Average)
"Arunachal Pradesh",2021,"Northeast",3.0,5.0,67,-
"Assam",2021,"Northeast",6.5,12.0,92.0,42.0
"Bihar",2021,"East",8.0,24.0,160.0,80.0
"Chhattisgarh",2021,"Central",9.0,16.0,67.0,29.0
"Goa",2021,"West",5.5,14.0,63.0,28.0
"Gujarat",2021,"West",16.0,22.0,106.0,42.0
"Haryana",2021,"North",10.0,29.0,170.0,75.0
"Himachal Pradesh",2021,"North",2.5,9.0,71.0,30.0
"Jharkhand",2021,"East",15.0,30.0,200.0,90.0
"Karnataka",2021,"South",10.0,18.0,85.0,35.0
"Kerala",2021,"South",7.0,12.0,55.0,25.0
"Madhya Pradesh",2021,"Central",12.0,22.0,120.0,55.0
"Maharashtra",2021,"West",13.0,27.0,95.0,43.0
"Manipur",2021,"Northeast",6.0,26.0,123.0,48.0
"Meghalaya",2021,"Northeast",7.0,10.0,65.0,25.0
"Mizoram",2021,"Northeast",2.0,5.0,35.0,20.0
"Nagaland",2021,"Northeast",2.0,11.0,-,-
"Odisha",2021,"East",9.0,18.0,100.0,45.0
"Punjab",2021,"North",7.0,17.0,100.0,-
"Rajasthan",2021,"North",10.0,26.0,135.0,55.0
"Sikkim",2021,"Northeast",6.0,6.0,37.0,16.0
"Tamil Nadu",2021,"South",10.0,19.0,60.0,28.0
"Telangana",2021,"South",13.0,23.0,85.0,40.0
"Tripura",2021,"Northeast",6.0,12.0,60.0,30.0
"Uttarakhand",2021,"North",8.0,20.0,85.0,40.0
"Uttar Pradesh",2021,"North",10.0,30.0,155.0,75.0
"West Bengal",2021,"East",11.0,25.0,120.0,60.0
"Andaman & Nicobar Islands",2021,"East",-, -,22,-
"Chandigarh",2021,"North",6,24,98,49
"Dadra & Nagar Haveli",2021,"West",17.0,22.0,76.0,30.0
"Daman & Diu",2021,"West",-, -, -, -
"Delhi",2021,"North",10,42,207,107
"Jammu & Kashmir",2021,"North",8.0,16.0,120.0,50.0
"Ladakh",2021,"North",-, -, -, -
"Lakshadweep",2021,"South",-, -, -, -
"Puducherry",2021,"South",10.0,20.0,70.0,30.0
"Andhra Pradesh",2020,"South",6.8,16.5,65.0,28.0
"Arunachal Pradesh",2020,"Northeast",2.5,4.8,65.0,-
"Assam",2020,"Northeast",6.0,11.5,90.0,41.0
"Bihar",2020,"East",7.5,23.5,155.0,78.0
"Chhattisgarh",2020,"Central",9.2,15.8,66.0,28.0
"Goa",2020,"West",5.0,13.5,62.0,27.0
"Gujarat",2020,"West",15.5,21.5,105.0,41.0
"Haryana",2020,"North",9.5,28.5,165.0,74.0
"Himachal Pradesh",2020,"North",2.0,8.5,70.0,29.0
"Jharkhand",2020,"East",14.0,29.0,195.0,88.0
"Karnataka",2020,"South",9.5,17.5,82.0,34.0
"Kerala",2020,"South",6.5,11.5,53.0,24.0
"Madhya Pradesh",2020,"Central",11.5,21.5,115.0,54.0
"Maharashtra",2020,"West",12.0,26.5,92.0,42.0
"Manipur",2020,"Northeast",5.5,25.0,120.0,47.0
"Meghalaya",2020,"Northeast",6.5,9.8,63.0,24.0
"Mizoram",2020,"Northeast",1.8,4.8,34.0,19.0
"Nagaland",2020,"Northeast",1.8,10.0,-,-
"Odisha",2020,"East",8.5,17.5,98.0,44.0
"Punjab",2020,"North",6.5,16.5,95.0,-
"Rajasthan",2020,"North",9.5,25.0,130.0,54.0
"Sikkim",2020,"Northeast",5.5,5.8,36.0,15.0
"Tamil Nadu",2020,"South",9.5,18.0,58.0,27.0
"Telangana",2020,"South",12.5,22.5,83.0,39.0
"Tripura",2020,"Northeast",5.5,11.5,58.0,29.0
"Uttarakhand",2020,"North",7.5,19.5,83.0,38.0
"Uttar Pradesh",2020,"North",9.5,29.0,150.0,74.0
"West Bengal",2020,"East",10.5,24.0,118.0,58.0
"Andaman & Nicobar Islands",2020,"East",-, -,22,-
"Chandigarh",2020,"North",5,23,95,48
"Dadra & Nagar Haveli",2020,"West",16.5,21.5,75.0,29.0
"Daman & Diu",2020,"West",-, -, -, -
"Delhi",2020,"North",9,40,198,98
"Jammu & Kashmir",2020,"North",7.5,15.5,115.0,49.0
"Ladakh",2020,"North",-, -, -, -
"Lakshadweep",2020,"South",-, -, -, -
"Puducherry",2020,"South",9.5,19.5,68.0,29.0
