S.No,States/UTs,Sunny/Clear Total Accidents,Sunny/Clear Persons Killed ,Sunny/Clear Greviously Injured,Sunny/Clear Minor Injury,Sunny/Clear Total Injured,Rainy Total AccidentsRainy,Rainy Persons Killed,Rainy Greviously Injured,Rainy Minor Injury,Rainy Total Injured,Foggy & Misty Total Accidents,Foggy & Misty Persons Killed,Foggy & Misty Greviously Injured,Foggy & Misty Minor Injury,Foggy & Misty Total Injured,Hail/Sleet Total Accidents,Hail/Sleet Persons Killed,Hail/Sleet Greviously Injured,Hail/Sleet Minor Injury,Hail/Sleet Total Injured,Others Total Accidents,Others Persons Killed,Others Greviously Injured,Others Minor Injury,Others Total Injured
19,Orissa,"6,653","3,092","3,324","2,608","5,932","1,587",744,892,539,"1,431","1,259",572,706,451,"1,157",259,99,193,54,247,"1,225",574,632,383,"1,015"
20,Punjab,"2,768","2,248",889,459,"1,348",536,407,205,115,320,"1,086",799,416,171,587,374,275,123,85,208,"1,107",860,399,210,609
21,Rajasthan,"17,890","8,663","3,914","12,707","16,621",458,165,126,309,435,322,160,86,251,337,13,10,0,12,12,"2,268","1,045","1,050",889,"1,939"
22,Sikkim,76,28,47,38,85,36,13,35,31,66,28,11,32,28,60,15,4,17,16,33,0,0,0,0,0
23,Tamil Nadu,"48,018","13,105","20,212","28,370","48,582","2,128",536,852,"1,268","2,120","2,124",684,793,"1,231","2,024",34,10,12,22,34,"3,378","1,049","1,274","1,962","3,236"
24,Telangana,"16,715","6,040","2,041","13,922","15,963",86,32,24,52,76,569,219,119,399,518,15,2,7,6,13,"3,930","1,264",379,"3,158","3,537"
25,Tripura,418,171,474,8,482,45,15,51,0,51,16,8,14,0,14,0,0,0,0,0,0,0,0,0,0
26,Uttarakhand,"1,186",693,697,239,936,121,68,60,26,86,56,37,32,4,36,1,1,0,6,6,41,21,19,8,27
27,Uttar Pradesh,"15,870","9,086","6,895","3,523","10,418","6,035","3,406","2,427","1,413","3,840","6,658","3,782","2,830","1,594","4,424","1,681",914,678,447,"1,125","7,485","4,039","3,316","1,774","5,090"
28,West Bengal,"6,463","2,690","4,778","1,068","5,846",479,214,361,57,418,547,296,378,61,439,19,10,19,0,19,"4,429","2,590","3,140",592,"3,732"
29,A & N Islands,101,18,29,58,87,14,2,2,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Chandigarh,202,91,9,161,170,4,4,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
31,D & N Haveli,59,32,49,20,69,33,17,21,15,36,38,21,29,26,55,0,0,0,0,0,10,6,2,9,11
32,Daman & Diu,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
33,Delhi,"2,564",604,93,"2,242","2,335",585,159,25,525,550,32,8,4,31,35,0,0,0,0,0,"1,539",468,57,"1,296","1,353"
34,Jammu & Kashmir,"3,837",455,"2,911","1,838","4,749",192,30,186,218,404,82,24,137,58,195,32,22,27,24,51,"1,309",243,722,851,"1,573"
35,Ladakh,111,23,17,89,106,36,9,8,35,43,13,2,6,14,20,33,9,12,17,29,43,13,7,37,44
36,Lakshadweep,4,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Puducherry,623,77,273,423,696,63,5,37,40,77,196,22,85,80,165,0,0,0,0,0,167,36,77,84,161
,Total,"299,305","105,805","125,228","158,948","284,176","36,432","14,455","16,815","16,601","33,416","28,934","13,372","13,408","11,952","25,360","3,911","1,872","1,764","1,532","3,296","43,850","18,468","15,063","23,137","38,200"
