S.no,State,"Name of District (Traffic
unit)","Name of Jurisdictional
Police Station",NH/SH/M,Name of Location Place,Starting,Ending to,Number of Accidents 2016,Number of Accidents 2017,Number of Accidents 2018,Number of Accidents Total of all 3 years,Number of Fatalities 2016,Number of Fatalities 2017,Number of Fatalities 2018,Number of Fatalities Total of all 3 years
221,WB,Asansol-Durgapur PC,Kanksa,NH-2,Birudiha Bus Stand,512.95,513,6,9,2,17,6,5,4,15
222,WB,Howrah PC,Liluah,NH-6,Chamrial Petrol Pump,20.2,20.5,7,8,4,19,4,7,4,15
223,WB,Howrah Rural,Domjur,NH-6,Nibra,26.1,26.5,7,8,7,22,5,5,5,15
224,WB,Howrah Rural,Sankrail,NH-6,Alampur,31.5,31.65,9,6,2,17,9,4,2,15
225,Assam,City Guwahati,Gorchuk,NH-37,"Garchuk to NP School, Lalunggaon",,,59,65,69,193,32,35,37,104
226,Assam,City Guwahati,Gorchuk,NH-37,Boragaon To Garchuk,,,59,55,49,163,28,27,26,81
227,Assam,City Guwahati,Sonapur,NH-37,Patarkuchi To Naziraghat,,,49,50,34,133,18,22,22,62
228,Assam,City Guwahati,Jalukbari OP,NH-37,Padumbori To Tetelia,,,40,40,46,126,15,18,21,54
229,Assam,City Guwahati,Sonapur,NH-37,Baligate To Kapalkata To Samata,,,59,56,42,157,30,26,20,76
230,Assam,City Guwahati,Basistha,NH-37,Beharbari Chariali To Lalmati,,,70,67,49,186,22,25,17,64
231,Assam,City Guwahati,Azara,NH-37,Azara PHC to Dharapur Petrol Pump,,,39,40,39,118,7,9,15,31
232,Assam,City Guwahati,Jorabat,NH-37,8Th Mile To 9Th Mile,,,31,31,24,86,7,10,11,28
233,Assam,City Guwahati,Basistha,NH-37,"Basistha Chariali (Gurdwara Cutting) to
Kinara",,,42,43,44,129,12,12,11,35
234,Odisha,Cuttack,Tangi PS,NH- 16,Manguli Chhak To Hanuman Petrol Pump,31.8,32.3,3,7,4,14,4,9,5,18
235,Odisha,Jajpur,Dharmasala,NH- 16,Near Naulapur,63.5,64,7,8,8,23,7,5,5,17
236,Odisha,Jagatsinghpur,Paradip PS,NH- 53,Dochhaki Paradip,72.95,73.45,5,1,2,8,6,9,1,16
237,Odisha,Mayurabhanj,Bangriposi,NH-49,Dwarasuni Temple to Dwarsuni Ghati,230,230.5,8,4,5,17,9,4,2,15
238,Odisha,Mayurabhanj,Kuliana,NH-18,Kuchei Topower Grid Chaak,23.5,24,8,4,5,17,9,4,2,15
239,Odisha,Jajpur,Badachana PS,NH- 16,Bandala Chhak,51.3,51.8,9,12,6,27,5,3,7,15
240,Odisha,Upd Bhubaneaswar,Khandgiri,NH-16,Iginia Chhak,410.25,410.75,6,6,12,24,5,6,4,15
241,Odisha,Sambalpur,Dhanupali PS,NH-53,Near Bhatra,562,562.5,7,21,8,36,2,8,5,15
242,Odisha,Bhadrak,Bhadrak Rural,NH- 16,Trisalpur Chhak (Rahanja),125.1,125.6,9,5,14,28,4,3,7,14
243,Odisha,Khordha,Sahid Nagar PS,NH- 16,Jaydev Vihar,417.75,418.25,7,7,12,26,3,6,5,14
244,Bihar,Naugachia,Naugachia,NH 31,Near Zero Mile,,,14,12,0,26,22,19,0,41
245,Bihar,Gaya,Magadh Medical,NH 83,Cant Area,98,98.4,6,0,10,16,8,0,15,23
246,Bihar,Gaya,Barachatti,NH 02,Kahubag,1036.7,1037.3,4,7,1,12,8,8,6,22
247,Bihar,Gaya,Sherghati,NH 02,Gopalpur,1010.8,1011.2,6,2,3,11,11,7,3,21
248,Bihar,Naugachia,Naugachia,NH 31,Near Bus Stand,,,12,0,0,12,18,0,0,18
249,Bihar,Gaya,Dobhi,NH 83,Bajaura,121.8,122.2,7,1,0,8,16,1,0,17
250,Bihar,Muzaffarpur,Ahiapur,NH 77,Bhikhanpura,,,5,4,2,11,10,4,2,16
251,Bihar,Aurangabad,Madanpur,NH 02,Shivganj,974,974.7,6,3,5,14,8,1,6,15
252,Bihar,Samastipur,Ujiyarpur,NH 28,Satanpur,581,581.6,11,0,4,15,10,0,5,15
253,Bihar,Patna,,NH 30,"New Bypass Karmali Chak 70Feet To West
500 Mtr.",,,13,10,7,30,7,4,3,14
254,UP,Unnao,Ajgain,NH-25,Purva Mod,70,70.4,17,21,25,73,22,20,27,69
255,UP,Mirzapur,Kotwali Dehat,NH-7,Karanpur Pahadee,9,9.5,0,40,34,74,0,40,15,55
256,UP,Mirzapur,Kotwali Katra,NH-7,Sabari Tiraha,4,4.4,0,13,26,39,0,12,38,50
257,UP,Bulandshahr,PS-Sikandrabad,NH-91,GT Road Cut,16,16.3,12,14,10,36,16,15,18,49
258,UP,Bulandshahr,PS-Sikandrabad,NH-91,Sunehra T Point,15,15.4,9,8,9,26,14,13,15,42
259,UP,Bulandshahr,Kotwali Dehat,NH-91,Maman Chungi,4,4.5,10,11,6,27,13,15,7,35
260,UP,Unnao,Ajgain,NH-25,Navabganj,52,52.4,10,11,9,30,11,13,10,34
261,UP,Mujaffarnagr,Chhapar,NH-58,Rampur Tiraha Cut,129.2,129.7,5,6,9,20,9,12,12,33
262,UP,Muradabad,Gunnaur,NH-509,Kali Ma,159,159.2,8,8,13,29,11,9,12,32
263,UP,Sambhal,Gunnaur,NH-509,Kali Ma,159,159.2,8,8,13,29,11,9,12,32
264,Punjab,Rupnagar,Sadar Rupnagar,NH 205,Malakpur T-Point,5,5.5,20,24,12,56,20,24,10,54
265,Punjab,SAS Nagar,Zirakpur,NH- 05,Gurdwara Nabha Sahib Chd Road,4,4.5,17,12,8,37,17,16,13,46
266,Punjab,Cop/ Ludhiana,PS Div No 7,NH-01,"Tajpur Cut Samrala Chowk Vardhman
Chowk Grewal Petrol Pump",1,1,9,6,5,20,11,16,4,31
267,Punjab,SAS Nagar,Zirakpur,NH-152,"T-Point Pind Singhpura Chd To Ambala
Road",3,3.5,8,9,6,23,9,11,9,29
268,Punjab,Ludhiana,Sahnewal,NH 44,Sahnewal Bridge,301.754,302.254,7,10,6,23,8,10,4,22
269,Punjab,Pathankot,PS Shahpur Kandi,NH-01,Pangoli Chowk,500,1000,6,7,5,18,6,7,5,18
270,Punjab,Ludhiana,Sahnewal,NH 44,Eastman Caste & Forge Ltd,304.402,304.902,7,5,2,14,10,5,2,17
271,Punjab,Ludhiana,Sahnewal,NH 44,Dhandari Flyover,307.449,307.949,3,6,10,19,3,5,8,16
272,Punjab,Ludhiana,Div No.3 + Jodhewal,NH 44,"Tibba Cut, Near Tajpur Chowk",315.442,315.942,8,7,3,18,6,7,3,16
273,Punjab,Ludhiana,Sahnewal,NH 44,Dhandari Kalan Bus Stop,309.15,309.65,7,8,2,17,6,7,1,14
